x,y,t,h
774,215,4,1004419.75
780,213,4,1004361.25
779,215,4,1004410.5
780,213,4,1004361.25
779,215,4,1004410.5
780,210,4,1004380
774,209,4,1004439.75
771,208,4,1004453.25
766,209,4,921341.25
762,211,4,921315.75
757,217,4,921208
753,224,4,917929.25
750,228,4,918092
739,229,4,918198.5
737,233,4,918210.5
734,240,4,918614.5
731,241,4,918628
729,244,4,918643.75
726,242,4,918674.5
722,242,4,918690.5
721,238,7.90000000037253,919383.75
725,236,4,919393.25
723,230,4,919347.75
728,228,8,919514.5
732,222,4,919564
732,219,4,919605.25
734,215,8,919619.75
740,207,4,920773.25
742,204,4,920780
745,201,8,920706.5
749,202,4,920733.25
746,206,4,920754.5
747,204,8,920757.25
743,207,4,920768
742,209,4,920855.75
741,214,8,920877.25
745,219,4,920972
742,222,4,920936
740,228,8,918154.5
738,234,4,918216
737,240,4,918275.75
736,250,8,918508
736,259,4,916495.75
734,257,4,916477.25
732,265,8,916409.25
729,263,4,916436
724,268,4,916320
722,271,4.09999999962747,916313.25
716,278,4,915940
711,277,4,915844
753,267,28,917348
764,267,4,917279.75
759,275,4,917018.5
772,276,8,830240
769,274,4,830221.25
769,275,4,830220
771,277,8.09999999962747,830236
772,287,4,830405.25
777,291,4,830692
774,298,8,830578.5
773,317,4,831458.5
774,311,4,831363.75
770,305,4,831399.75
771,309,4,831414.5
768,312,4,831424
765,311,4,913638.5
764,304,4,913658.5
757,301,4,913890.5
750,306,4,914264
743,291,4,914064
744,273,4,916969.25
746,275,4.10000000149012,916963.75
744,272,4,916970.5
739,257,4,916486.5
738,253,4,918519.75
739,256,3.89999999850988,916485.25
738,251,3.90000000037253,918497.25
739,254,4,918521.25
742,253,3.90000000037253,918477.25
745,250,4,918407.75
745,254,3.90000000037253,918461.25
748,262,3.90000000037253,916590.5
748,264,4,916624
749,266,3.89999999850988,916637.25
750,268,3.90000000037253,916644
755,274,7.90000000037253,917003.75
759,271,3.90000000037253,917312
761,275,4,917220
763,277,7.90000000037253,917214.5
765,276,3.89999999850988,917193.25
766,277,3.90000000037253,917191.75
767,280,7.90000000037253,917183.75
771,277,3.90000000037253,830236
774,275,4,830259.75
775,273,7.79999999888241,830270.5
776,273,4,830275.75
773,269,3.90000000037253,830178.5
773,267,7.90000000037253,830172
772,264,3.90000000037253,830160
770,262,4,830136
768,258,7.79999999888241,830124
767,255,4,917504
765,250,3.90000000037253,917533.25
763,248,3.90000000037253,917541.25
761,246,4,917719.75
165,326,98.5999999996275,226349.25
138,326,7.90000000037253,225394.5
133,323,4,225332
141,325,4,225378.5
134,321,8,225341.25
137,323,4,225350.5
156,323,4,226293.25
156,322,8,226294.5
146,323,4,226211.75
142,320,3.90000000037253,225364
142,317,8,225031.75
141,313,4,225074.5
141,313,4,225074.5
140,314,4,225076
143,305,4,225108
142,307,4,225105.25
144,302,4,224766.5
141,299,4,224436
139,296,4,224389.25
141,295,3.90000000037253,224462.5
142,295,4,224449.25
142,297,4,224445.25
143,298,4,224433.25
149,298,4,224733.25
154,298,4,224648
155,300,4,224693.25
158,301,4,224679.75
162,302,4,221778.5
161,304,4,221611.75
166,308,4,221574.5
167,309,3.89999999850988,221572
168,308,4,221648
169,309,8,221650.5
171,313,4,221476
171,316,4,221493.25
170,315,8,221473.25
170,311,4,221657.25
168,306,4,221646.5
166,293,7.90000000037253,221831.75
166,290,4,221880
166,288,4,221886.5
171,287,8,223152
170,291,4,221899.75
174,297,4,221719.75
172,286,8,223150.5
176,281,4,222313.25
175,281,3.90000000037253,223126.5
181,280,4,222321.25
183,279,4,222336
187,282,4,222243.75
187,285,4,222262.5
196,286,4,220102.5
190,288,4,222206.5
194,291,4,220169.25
192,292,4,220218.5
192,291,4,220165.25
195,295,4,220208
197,293,4,220194.5
207,294,4,220355.75
202,295,4,220371.75
200,295,4,220373.25
196,297,4,220281.25
202,297,4,220295.75
199,298,4,220273.25
194,298,4,220232
203,298,4,220297.25
203,298,4,220297.25
204,297,4,220345.25
200,297,4,220289.25
