x,y,t,h
973,409,4,799538.5
974,412,8,799494.5
975,413,4,799492
975,418,4,799833.25
974,418,8,799832
975,417,4,799830.5
976,416,4,800682.5
976,412,7.89999999999418,799472
976,412,4,799472
977,410,4,799469.25
978,408,8,799462.5
978,407,4,799257.25
977,406,4,799255.75
976,404,8,799248
976,403,4,799247.75
975,402,4,799571.75
975,403,8,799568
974,404,3.89999999999418,799564
973,406,4,799559.75
973,407,8,799556
973,406,4,799559.75
972,406,4,799558.5
972,406,8,799558.5
972,405,4,799561.25
972,405,4,799561.25
973,405,4,799560
973,404,4,799563.75
973,403,4,799582.5
974,402,3.89999999999418,799570.5
975,402,4,799571.75
976,401,4,799233.25
977,400,4,799235.75
979,400,4,799237.25
979,399,8,799226.5
980,399,4,799173.25
981,398,4,799175.75
980,397,8,799177.25
982,397,4,799181.25
982,395,4,799185.25
982,394,3.89999999999418,799186.5
982,393,8,799191.75
980,393,3.90000000002328,799195.75
979,392,3.89999999999418,799205.25
977,392,7.69999999998254,799209.25
976,392,3.90000000002328,799210.5
975,393,3.79999999998836,798910.5
975,392,7.79999999998836,798911.75
975,395,3.90000000002328,798896
973,394,3.89999999999418,798903.75
972,395,7.69999999998254,798901.25
971,396,3.90000000002328,798879.75
971,398,3.89999999999418,798875.75
971,398,3.89999999999418,798875.75
970,400,3.79999999998836,799590.5
971,403,3.90000000002328,799584
972,407,3.89999999999418,799557.25
822,586,58.1999999999825,761720
822,589,7.80000000001746,761671.75
820,595,3.79999999998836,761375.75
818,599,3.89999999999418,761393.25
817,602,7.80000000001746,761421.25
817,604,3.79999999998836,761425.25
818,604,3.89999999999418,761438.5
820,603,7.80000000001746,761461.25
821,602,3.89999999999418,761463.75
821,602,3.79999999998836,761463.75
819,605,7.80000000001746,761436
817,606,3.89999999999418,761431.75
814,609,3.89999999999418,758359.75
812,615,7.70000000001164,758341.25
812,622,3.89999999999418,758284
810,624,3.89999999999418,758606.5
809,630,7.70000000001164,758653.25
808,636,3.89999999999418,758714.5
808,634,3.89999999999418,758660
807,638,3.89999999999418,758721.25
807,636,3.90000000002328,758735.75
806,635,4,758737.25
806,635,3.89999999999418,758737.25
806,630,4,758568
807,627,4,758576
807,620,4,758501.25
808,619,4,758309.25
809,618,4,758311.75
809,618,4,758311.75
810,614,4,758392
810,612,4,758388
810,612,4,758388
812,612,4,758346.5
813,612,4,758347.75
