x,y,t,h
948,431,4,795119.75
949,430,4,795117.25
951,427,8,795098.5
953,426,4,794919.75
952,425,4,794921.25
951,426,8,795097.25
950,427,4,795099.75
949,428,4,795107.75
948,429,8,795105.25
947,430,4,795123.75
946,429,4,795127.75
946,428,4,795126.5
946,425,4,795085.25
946,425,4,795085.25
946,423,4,795067.75
947,421,8,795062.5
948,419,4,795039.75
950,418,3.89999999850988,795026.5
951,418,3.90000000223517,795027.75
952,418,4,794988
953,420,3.89999999850988,794995.75
954,420,3.89999999850988,794996
954,421,4,794999.75
954,422,3.90000000223517,795000
954,423,3.89999999850988,795003.75
954,424,4,794924
953,426,3.90000000223517,794919.75
953,427,4,794916
952,428,3.89999999850988,794906.5
951,428,3.89999999850988,795109.25
950,428,4,795108
949,428,3.90000000223517,795107.75
950,429,3.89999999850988,795111.75
949,430,4,795117.25
949,431,3.90000000223517,795116
949,432,3.89999999850988,794801.25
949,432,4,794801.25
950,430,7.89999999850988,795112
951,428,3.90000000223517,795109.25
951,425,3.89999999850988,795094.5
951,422,7.90000000223517,795009.25
951,420,3.89999999850988,795023.75
951,418,4,795027.75
950,415,7.80000000074506,798313.25
950,417,4,795031.75
949,415,3.89999999850988,798310.5
947,416,7.90000000223517,795045.25
946,418,3.89999999850988,795042.5
945,417,4,795048
945,420,7.80000000074506,795059.75
945,423,4,795068
945,424,3.89999999850988,795073.25
947,424,7.90000000223517,795087.75
947,426,3.89999999850988,795083.75
950,427,3.89999999850988,795099.75
950,427,4,795099.75
952,426,3.90000000223517,794918.5
952,426,3.89999999850988,794918.5
953,425,4,794920
954,425,3.90000000223517,794925.25
953,423,4,795004
638,311,91.5,899777.25
637,308,4,899785.25
635,305,4,899822.5
634,305,7.89999999850988,899821.25
632,302,4,899902.5
631,300,4,899909.25
631,297,8,899964
631,297,4,899964
630,299,4,899961.25
630,298,4,899960
630,297,4,899965.25
630,295,4,899969.25
630,296,4,899966.5
631,295,4,899968
631,294,3.89999999850988,899971.75
630,292,4,899974.5
630,293,4,899975.75
630,294,4,899970.5
629,294,4,899981.25
629,293,4,899976
629,293,4,899976
630,292,4,899974.5
629,294,4,899981.25
631,295,4,899968
630,296,4,899966.5
632,298,4,899884
633,302,3.90000000223517,899901.25
634,304,4,899820
636,307,8,899829.25
636,309,4,899787.75
637,312,4,899771.75
637,315,8,899764
635,319,4,899738.5
634,321,4,886119.75
631,327,7.89999999850988,886144
629,330,4,886237.25
625,330,4,886215.75
622,333,8,886279.75
982,325,48,805671.75
983,324,4,805669.25
990,322,4,805880
990,321,4,805885.25
993,321,4,805890.5
994,322,4,805896
994,323,4,805899.75
996,324,4,805920
997,325,4,805922.5
997,325,4,805922.5
996,326,4,805924
997,326,4,805927.75
998,326,4,805928
998,325,4,805933.25
998,325,4,805933.25
998,324,4,805934.5
998,322,4,805938.5
998,321,4,805949.25
997,321,8,805944
998,321,4,805949.25
997,322,4,805943.75
997,322,8,805943.75
997,325,4,805922.5
997,329,4,806104
997,331,8,806110.5
996,333,4,806089.25
995,333,4,806134.5
994,336,8,806158.5
994,337,4,806157.25
994,340,4,806198.5
993,337,8,806146.5
994,336,4,806158.5
