x,y,t,h
981,352,76,804627.75
980,342,4,804998.5
978,332,4,805726.5
979,324,8,805685.25
979,325,4,805684
979,333,4,805724
978,337,8,805031.75
978,340,4,805044
978,340,4,805044
979,330,8,805705.25
982,327,4,805675.75
982,323,4,805659.75
982,321,4,805655.75
984,320,4,805866.5
985,320,4,805867.75
985,320,4,805867.75
985,318,4,810685.25
984,316,4,810682.5
984,316,4,810682.5
983,318,4,810689.25
981,320,4,805651.75
981,321,4,805650.5
981,322,3.89999999999418,805661.25
980,321,4,805649.25
979,321,4,805644
978,324,4,805686.5
977,327,4,805694.5
976,328,4,805696
978,330,4,805704
978,328,4,805700
979,326,4,805683.75
979,322,8,805643.75
980,319,4,810693.25
980,315,4,810719.75
980,316,8,810698.5
980,319,4,810693.25
980,318,4,810694.5
981,320,8,805651.75
980,321,4,805649.25
980,320,4,805648
980,314,8,810716
979,314,4,810723.75
979,316,4,810741.25
979,324,8,805685.25
979,328,4,805701.25
978,331,4,805707.75
978,333,8,805725.25
976,333,4,805715.75
975,332,4,805391.75
975,332,8,805391.75
975,333,4,805390.5
975,335,4,805376
976,337,8,805035.75
976,338,4,805036
977,337,4,805032
977,335,4,805718.5
978,333,4,805725.25
978,330,4,805704
980,327,4,805679.75
981,325,8.10000000000582,805666.5
982,323,4,805659.75
981,320,4,805651.75
980,320,4,805648
979,320,4,805647.75
977,322,4,805639.75
976,324,4,805690.5
975,328,8,805397.25
974,328,4,805398.5
974,331,4,805393.25
973,335,8,805380
973,337,4,805368
973,339,4,805364
975,343,8,805354.5
875,376,32.1000000000058,820111.75
874,376,4,820110.5
869,383,3.89999999999418,820164
871,387,3.89999999999418,840730.5
871,391,4,840746.5
869,392,3.90000000002328,840827.75
868,396,4,840800
866,396,3.89999999999418,840798.5
864,398,3.89999999999418,840788
864,401,4,841643.75
863,402,3.89999999999418,840443.75
862,404,3.89999999999418,840390.5
861,405,4,840392
860,404,3.90000000002328,840394.5
860,402,4,840436
859,401,3.89999999999418,840430.5
858,399,3.89999999999418,840507.75
858,396,4,840500
858,395,3.89999999999418,840481.25
857,393,3.89999999999418,840488
858,392,4,840486.5
859,392,3.90000000002328,840485.25
859,390,7.89999999999418,840667.75
862,386,3.89999999999418,840690.5
862,385,4,840701.25
863,384,7.89999999999418,840703.75
861,385,3.89999999999418,840696
861,386,3.90000000002328,840695.75
860,392,7.89999999999418,840474.5
858,393,3.89999999999418,840487.75
858,393,4,840487.75
857,392,7.89999999999418,840489.25
861,389,3.89999999999418,840674.5
860,391,3.90000000002328,840677.25
860,393,7.89999999999418,840475.75
862,396,3.89999999999418,840460
863,400,4,840447.75
863,404,7.89999999999418,840389.25
865,403,3.89999999999418,841646.5
865,403,3.90000000002328,841646.5
867,401,4,841636
868,401,3.89999999999418,841627.75
869,402,3.89999999999418,841629.25
868,403,4,841631.75
869,404,3.89999999999418,841611.75
868,407,4,841605.25
866,411,3.89999999999418,841673.25
865,414,3.90000000002328,841725.25
863,415,4,840362.5
862,414,3.89999999999418,840360
862,412,3.89999999999418,840366.5
862,414,4,840360
860,414,4,840356
859,415,4,840346.5
859,416,3.89999999999418,843109.25
858,418,4,843106.5
857,419,4,843118.5
857,418,4,843117.25
857,417,4,843112
854,414,8,840296
848,412,4,840272
845,413,4,840098.5
843,416,8,843365.25
842,419,3.89999999999418,843361.25
841,419,4,843374.5
836,423,8,843397.25
834,429,4,843511.75
832,432,4,843520
831,435,8,838394.5
830,440,4,838332
830,443,4,838323.75
831,445,7.90000000002328,838316
832,446,4,843774.5
832,444,4,843760
831,445,8,838316
831,443,4,838320
832,440,4,843754.5
830,439,4,838337.25
830,439,4,838337.25
829,442,4,838327.75
827,444,3.89999999999418,838303.75
826,444,4,838302.5
826,444,4,838302.5
825,445,4,838290.5
824,446,4,838292
824,447,4,838293.25
824,451,4,849263.75
824,453,4,849265.25
825,456,4,849195.75
824,457,4,849193.25
823,457,3.89999999999418,849366.5
822,457,4,849367.75
821,458,4,849373.25
821,458,4,849373.25
820,456,4,849360
820,455,4,849285.25
820,453,8,849289.25
821,453,4,849288
822,451,4,849297.25
821,450,7.89999999999418,849309.25
822,450,4,849298.5
824,448,4,849258.5
825,448,8,849257.25
826,447,4,838297.25
827,446,4,838299.75
828,447,8,838309.25
829,447,4,838310.5
830,448,4,849238.5
829,448,8,849241.25
829,448,4,849241.25
828,447,4,838309.25
828,446,4,838308
827,445,4,838300
825,446,4,838295.75
825,448,4,849257.25
826,450,4,849250.5
824,451,4,849263.75
823,453,4,849294.5
822,455,4,849283.75
821,456,4,849363.75
820,459,4,849375.75
820,460,4,849376
820,462,4,849390.5
820,463,4,849391.75
821,463,4,849388
820,462,4,849390.5
820,462,4,849390.5
821,461,4,849378.5
823,462,4,849385.25
826,463,4,849171.75
828,462,4,849164
831,462,4,849155.75
833,462,4,844029.25
834,462,4,844024
836,460,8,843978.5
837,459,4,843998.5
838,458,4,843986.5
841,456,8.10000000000582,843905.25
843,456,4,843919.75
842,454,4,843890.5
842,453,8,843895.75
841,452,4,843897.25
841,451,4,843846.5
841,450,8,843847.75
841,450,4,843847.75
840,451,4,843845.25
840,450,8,843844
840,451,4,843845.25
839,452,4,843823.75
837,451,4,843828
838,451,4,843827.75
838,451,4,843827.75
838,451,3.89999999999418,843827.75
838,451,3.89999999999418,843827.75
838,451,4,843827.75
838,450,3.90000000002328,843826.5
839,450,3.89999999999418,843825.25
838,451,4,843827.75
838,452,3.89999999999418,843822.5
838,452,3.89999999999418,843822.5
838,454,4,843816
837,456,3.89999999999418,843993.25
836,457,3.90000000002328,843995.75
835,459,4,844000
1113,655,43.1999999999825,2020156
1114,655,3.89999999999418,2020155.75
1118,656,4,2020094.5
1119,658,7.80000000001746,2020091.75
1122,659,4,2021281.25
1122,660,3.89999999999418,2021300
1123,660,7.89999999999418,2021301.25
1122,662,3.89999999999418,2021304
1126,662,3.90000000002328,2021250.5
1127,662,7.89999999999418,2021249.25
1127,661,3.89999999999418,2021262.5
1127,661,3.89999999999418,2021262.5
1128,662,7.89999999999418,2021246.5
1128,662,3.90000000002328,2021246.5
1128,662,4,2021246.5
1127,661,3.89999999999418,2021262.5
1127,661,3.89999999999418,2021262.5
1127,661,4,2021262.5
1129,661,3.89999999999418,2021234.5
1129,661,3.89999999999418,2021234.5
1130,661,4,2021239.75
1130,661,3.90000000002328,2021239.75
1133,661,3.89999999999418,2021192
1134,660,4,2021196
1135,660,3.89999999999418,2021199.75
1137,659,3.89999999999418,2020876
1139,659,4,2020874.5
1141,659,3.89999999999418,2020916
1142,659,3.90000000002328,2020915.75
1142,659,4,2020915.75
1143,660,4,2020911.75
1144,661,4,2020987.75
1145,661,3.89999999999418,2020984
1145,662,4,2020989.25
1145,664,8,2020993.25
1146,665,4,2021005.25
1145,666,4,2020999.75
1144,667,8,2020997.25
1143,667,4,2021072
1144,668,4,2021050.5
1145,668,8,2021049.25
1145,670,4,2021053.25
1144,670,4,2021052
1143,672,8,2021695.75
1143,675,4,2021680
1143,677,4,2021676
1142,678,8,2021672
1142,678,4,2021672
1141,679,4,2021670.5
1232,739,32,1969423.75
1233,747,4,1969646.5
1235,747,4,1969632
1236,748,4,1969610.5
1239,749,4,1969614.5
1241,750,4,1969597.25
1245,749,4,1969570.5
1246,747,4,1969563.75
1247,744,4,1969557.25
1245,741,4,1969506.5
1246,738,4,1969496
1243,736,4,1969487.75
1242,735,4,1968187.75
1240,732,4,1968176
1239,731,4,1968250.5
1239,731,4,1968250.5
1240,731,8,1968175.75
1242,729,4,1968167.75
1244,727,4,1968357.25
1244,724,8,1968352
1244,720,3.89999999999418,1968378.5
1247,718,4,1968387.75
1249,717,8,1967864
1251,716,4,1967861.25
1252,715,4,1967839.75
1253,714,8,1967837.25
1254,711,4,1967747.75
1253,709,4,1967752
1252,708,8,1967754.5
1252,707,4,1967775.75
1253,708,4,1967755.75
1254,711,4,1967747.75
1253,713,4,1967826.5
1253,716,4,1967843.75
1251,716,4,1967861.25
1250,716,4,1967862.5
1246,716,4,1968390.5
1246,716,4,1968390.5
1245,716,4,1968393.25
1244,715,4,1968437.25
1242,714,4,1968418.5
1241,711,4,1968508
1239,710,4,1968513.25
1505,872,43.8999999999942,1894633.25
1506,875,8,1894625.25
1509,876,4,1894603.75
1511,880,4,1894677.25
1514,880,8,1894892
1516,883,4,1894901.25
1517,884,4,1894857.25
1520,885,8,1894971.75
1521,886,4,1894973.25
1520,887,4,1894975.75
1520,887,8,1894975.75
1519,888,3.89999999999418,1894847.75
1518,890,4,1894834.5
1518,890,8,1894834.5
1519,888,4,1894847.75
1518,887,4,1894849.25
1518,885,4,1894855.75
1520,886,4,1894972
1520,886,4,1894972
1522,887,4,1894961.25
1524,890,4,1895030.5
1526,890,3.90000000002328,1895026.5
1529,889,4,1895042.5
1531,886,3.89999999999418,1895121.25
1533,883,3.89999999999418,1895158.5
1534,880,3.89999999999418,1895166.5
1536,879,4,1818367.75
1537,877,3.89999999999418,1818360
1539,876,3.90000000002328,1818357.25
1541,874,4,1818333.25
1542,872,3.89999999999418,1818324
1544,870,3.89999999999418,1818238.5
1545,872,3.89999999999418,1818155.75
1547,875,4,1818144
1549,877,3.89999999999418,1818120
1636,885,27.5,1803043.75
1633,886,3.90000000002328,1803031.75
1635,888,4,1803237.25
1640,890,7.79999999998836,1803140
1644,891,4,1803167.75
1645,890,3.89999999999418,1803165.25
1645,890,7.80000000001746,1803165.25
1646,891,4,1803163.75
1648,890,3.89999999999418,1802342.5
1649,890,7.89999999999418,1802343.75
1649,891,3.89999999999418,1802340
1649,890,3.89999999999418,1802343.75
1650,894,7.90000000002328,1802322.5
1651,897,3.89999999999418,1824006.5
1649,898,3.89999999999418,1824013.25
1647,898,4,1823995.75
1646,897,3.89999999999418,1823997.25
1646,893,3.89999999999418,1803175.75
1646,890,4,1803160
1647,890,3.90000000002328,1803161.25
1646,889,3.89999999999418,1803159.75
1646,889,4,1803159.75
1646,886,3.89999999999418,1803112
1647,883,3.89999999999418,1803098.5
1648,880,3.89999999999418,1802410.5
1648,878,4,1802748
1650,878,3.90000000002328,1802738.5
1651,880,3.89999999999418,1802415.75
1652,882,4,1802420
1653,885,3.89999999999418,1802376
1653,888,3.89999999999418,1802353.25
1654,890,4,1802360
1656,890,4,1802284
1656,893,4,1802289.25
1657,893,8,1802290.5
1657,892,4,1802291.75
1658,891,4,1802273.25
1658,891,8,1802273.25
1658,890,4,1802274.5
1657,888,4,1802281.25
1656,888,8,1802282.5
1654,887,4,1802369.25
1651,887,4,1802384
1649,884,8,1802395.75
1644,882,4,1803102.5
1647,880,4,1803093.25
1650,878,8,1802738.5
1656,876,4,1802522.5
1665,874,4,1801927.75
1673,872,4,1801771.75
1674,873,4,1801773.25
1677,872,4,1801777.25
1681,872,4,1801665.25
1684,871,4,1801605.25
1687,872,4,1801685.25
1688,873,4,1801513.25
1689,876,4,1801499.75
1690,878,4,1801490.5
1690,880,4,1801412
1690,881,4,1801415.75
1690,883,4,1801419.75
1690,886,4,1801432
1690,889,4,1801255.75
1691,892,4,1801269.25
1693,894,4,1801223.75
1695,894,4,1801217.25
1697,892,4,1801209.25
1700,889,4,1801169.25
1701,889,4,1801170.5
1704,888,4,1801002.5
1706,886,4,1801080
1708,883,4,1801055.75
1711,880,8,1801045.25
1713,876,4,1800691.75
1715,873,4,1800676
1715,871,8,1800474.5
1716,867,4,1800501.25
1718,865,4,1800509.25
1719,863,8,1799872
1722,862,4,1799858.5
1721,860,4,1799865.25
1721,860,8,1799865.25
1720,859,4,1799813.25
1720,860,4,1799866.5
1719,861,8,1799886.5
1717,861,4,1799880
1716,860,4,1799882.5
1715,860,4,1799925.25
1714,861,4,1799927.75
1711,862,4,1799939.75
1709,861,4,1799944
1707,861,4,1799966.5
1707,860,4,1799967.75
1705,860,4,1799963.75
1704,860,4,1799962.5
1704,860,4,1799962.5
1703,861,4,1800166.5
1702,862,4,1800168
1701,864,4,1800211.75
1699,865,4,1800204
1698,867,4,1800201.25
1696,867,4,1800197.25
1695,869,4,1801550.5
1692,870,4,1801542.5
1690,872,4,1801516
1688,872,4,1801514.5
1686,874,8,1801688
1683,874,4,1801675.75
1682,874,4,1801672
1681,875,8,1801670.5
1680,873,4,1801667.75
1680,872,4,1801664
1680,871,8,1801663.75
1680,869,4,1801649.25
1680,868,4,1801648
1681,869,8,1801650.5
1683,868,4,1801653.25
1779,172,68,1356277.25
1780,184,8,1355888
1777,187,4,1355876
1776,179,4,1355941.25
1775,180,8,1356645.25
1774,181,4,1356647.75
