x,y,t,h
947,546,4,772361.25
947,545,4,772358.5
947,545,8,772358.5
947,546,4,772361.25
947,547,4,772362.5
947,546,4,772361.25
947,544,4,772357.25
946,543,4,771835.75
947,541,4,771830.5
946,540,3.89999999999418,771828
946,537,4,771815.75
944,535,4,771605.25
943,534,4,771905.25
942,533,4,771917.25
941,529,4,771928
940,527,4,771237.25
940,525,4,771235.75
937,524,4,771217.25
936,525,4,771219.75
936,523,4,771215.75
935,523,4,771184
934,524,4,771182.5
933,525,4,771170.5
932,528,3.89999999999418,771994.5
932,529,8,771995.75
932,533,4,771977.25
931,535,4,772026.5
930,539,8,772041.25
931,541,4,772084
930,545,4,772109.25
931,545,8,772108
932,546,4,772126.5
932,549,4,772129.25
933,550,7.90000000002328,772141.25
934,551,4,772139.75
935,552,4,772223.75
935,550,8,772137.25
936,548,4,772314.5
937,546,4,772327.75
940,539,8,771893.25
942,535,4,771907.75
943,530,4,771923.75
942,527,4,771241.25
943,524,4,771247.75
943,520,4,771263.75
944,519,4,771349.25
944,517,4,771347.75
944,514,4,771342.5
944,509,4,790617.25
942,506,4,791448
940,502,4,791406.5
934,503,4,791337.25
934,498,4,791346.5
929,497,4,791298.5
928,498,4,791310.5
922,496,4,791654.5
921,493,4,792466.5
920,492,4,792464
919,492,4,792431.75
916,495,4,792421.25
917,495,4,792422.5
917,496,8,791705.25
919,496,4,791701.25
919,498,4,791699.75
923,498,8,791651.75
925,497,4,791640
929,496,4,791299.75
930,497,8,791303.75
932,497,4,791353.25
934,495,4,791275.75
935,494,8,791273.25
936,493,4,791065.25
937,491,4,791076
937,490,8,791079.75
939,489,4,791086.5
939,489,4,791086.5
938,488,8,791084
937,487,4,791164
936,486,4,791166.5
935,486,8,791169.25
933,486,4,791175.75
933,486,4,791175.75
933,485,8,791176
931,485,4,791222.5
1254,325,60,1164941.25
1261,319,4,1178022.5
1257,315,4,1177996
1260,308,8,1178058.5
1262,302,4,1177768
1263,300,4,1177765.25
1266,294,8,1178514.5
1269,292,4,1178505.25
1271,288,4,1178559.75
1271,283,8,1178842.5
1272,282,4,1178662.5
1273,279,4,1178748
1276,275,8,1178719.75
1278,271,4,1179561.25
1281,269,4,1179730.5
1281,268,4,1179729.25
1284,265,4,1179769.25
1286,261,4,1179687.75
1287,260,4,1179685.25
1289,257,4,1179880
1291,255,4,1267002.5
1293,252,4,1266955.75
1295,248,4,1266965.25
1295,247,4,1267178.5
1294,247,4,1267177.25
1294,245,4,1267181.25
1294,244,4,1267182.5
1293,242,4,1267191.75
1293,241,4,1267192
1292,239,4,1267205.25
1292,238,4,1267206.5
1291,236,4,1267253.25
1290,236,4,1267252
1289,235,4,1267246.5
1288,235,8,1267247.75
1287,234,4,1267323.75
1286,233,4,1267325.25
