x,y,t,h
945,553,4,772584
946,552,4,772582.5
946,555,4,772577.25
945,558,4,772605.25
944,566,4,772628
942,569,4,772925.25
943,568,4,772927.75
943,567,4,772928
942,566,3.89999999999418,772930.5
943,566,8,772929.25
943,569,4,772924
943,567,4,772928
942,567,8,772931.75
943,568,4,772927.75
945,570,4,772845.25
944,569,8,772843.75
946,569,4,772839.75
945,570,4,772845.25
946,569,8,772839.75
947,571,4,772832
948,571,4,772831.75
947,571,8,772832
948,569,4,772827.75
950,569,4,772823.75
951,565,8,772652
951,562,4,772657.25
952,561,4,772675.75
953,559,4.10000000000582,772542.5
955,557,4,772532
956,555,4,772511.75
956,554,4,772510.5
955,552,4,772495.75
955,552,4,772495.75
954,556,4,772534.5
953,558,4,772541.25
1092,632,40,2000240
1085,625,4,2013778.5
1087,623,8,2013610.5
1084,625,4,2013777.25
1087,636,4,2013861.25
1089,644,8,2019345.25
1091,640,4,2019333.25
1091,649,4,2019556
1092,647,8,2019365.25
1091,642,4,2019337.25
1090,646,4,2019352
1089,650,8,2019565.25
1090,654,4,2019576
1093,657,4,2019602.5
1093,656,8,2019603.75
1095,659,4,2019610.5
1096,658,4,2019814.5
1100,656,8,2019824
1101,658,4,2019831.75
1101,658,4,2019831.75
1101,657,4,2019826.5
1102,654,4,2019496
1104,653,4,2020185.25
1104,652,4,2020186.5
1102,650,4,2019480
1104,650,4,2020198.5
1105,650,4,2020199.75
1106,649,4,2020205.25
1106,650,4,2020194.5
1108,648,4,2020208
1107,646,4,2020241.25
1109,647,4,2020238.5
1109,646,4,2020237.25
1109,646,4,2020237.25
1108,644,4,2020234.5
1106,645,4,2020253.25
1104,646,4,2020246.5
1101,647,4,2019436
1101,649,4,2019474.5
1100,648,4,2019472
1099,648,4,2019471.75
1098,651,4,2019465.25
634,480,76,869356
630,480,4,869140
628,483,4,869151.75
627,481,4,869132
628,483,4,869151.75
626,483,4,869129.25
624,482,4,869124
622,476,4,870308
622,466,4,870232
622,464,3.89999999999418,870228
621,459,3.89999999999418,869942.5
621,457,4,869938.5
622,457,3.89999999999418,869949.25
623,450,3.90000000002328,869971.75
624,451,3.89999999999418,869807.75
623,447,4,883114.5
623,446,3.89999999999418,883115.75
621,445,3.89999999999418,883106.5
621,446,3.89999999999418,883111.75
621,446,7.90000000002328,883111.75
621,445,3.89999999999418,883106.5
621,446,4,883111.75
620,447,7.79999999998836,883109.25
620,449,3.89999999999418,869979.75
620,451,4,869983.75
621,453,7.80000000001746,869960
621,456,4,869937.25
622,455,3.89999999999418,869955.75
624,456,7.79999999998836,869824
624,458,4,869828
624,460,3.90000000002328,869882.5
623,462,7.79999999998836,869891.75
623,464,4,870229.25
623,464,3.89999999999418,870229.25
623,464,7.89999999999418,870229.25
622,463,3.90000000002328,869889.25
620,463,3.89999999999418,869903.75
619,461,3.89999999999418,869918.5
616,461,4,869913.25
615,460,3.89999999999418,870117.25
613,459,3.89999999999418,870108
612,459,3.90000000002328,870111.75
612,458,4,870110.5
511,366,39.2999999999884,158121.25
518,378,3.89999999999418,890232
511,364,3.89999999999418,158117.25
507,360,3.90000000002328,158095.75
506,359,7.89999999999418,158065.25
505,361,3.89999999999418,158082.5
502,360,3.89999999999418,158166.5
501,358,8,157991.75
502,360,4,158166.5
501,364,4,158155.75
500,363,8,158175.75
501,366,4,158151.75
499,362,4,158179.75
500,366,8,158150.5
501,365,4,158152
502,368,4,158268
502,364,8,158156
504,364,4,158138.5
505,364,4,158137.25
505,368,8,158273.25
506,371,4.10000000000582,158281.25
506,370,4,158280
506,368,4,158286.5
506,369,4,158285.25
505,368,4,158273.25
505,370,4,158279.75
502,368,4,158268
503,374,4,158251.75
501,376,4,158425.25
501,378,4,158429.25
500,375,4,158245.25
500,372,4,158240
501,372,4,158241.25
501,371,4,158260
502,366,4,158146.5
504,367,4,158143.75
503,362,4,158163.75
505,361,4,158082.5
502,356,4,157998.5
503,354,4,158001.25
503,351,4,157376
502,348,8,157388
500,345,4,157403.75
499,343,4,157210.5
497,345,8,157416
496,345,4,157419.75
494,346,4,157496
494,350,8,157442.5
492,352,4.10000000000582,157936
493,355,4,157942.5
490,351,8,157459.75
490,352,4,157932
487,354,4,157721.25
487,358,8,157737.25
486,360,4,157820
486,361,4,157821.25
485,363,4,157812
483,363,4,157770.5
483,360,4,157765.25
484,358,4,157742.5
484,355,4,157727.75
482,353,4,157709.25
481,354,4,157703.75
482,352,4,157710.5
479,351,4,156330.5
477,349,4,156322.5
479,347,4,156336
478,347,4,156339.75
477,347,4,156340
477,347,4,156340
475,346,4,156297.25
476,345,4,156345.25
478,345,4,156349.25
479,345,4,156350.5
480,348,4,157690.5
480,348,4,157690.5
479,352,4,159061.25
478,358,4,159042.5
478,362,4,159032
481,359,8,157758.5
482,359,4,157745.25
483,357,4,157748
484,356,8,157728
483,356,4,157749.25
484,355,4,157727.75
484,351,4,157679.75
487,361,8,157822.5
488,361,4,157825.25
489,370,4,158573.25
490,369,8,158567.75
1528,248,95.5,1245226.5
1530,246,3.89999999999418,1245400
1531,243,7.89999999999418,1245386.5
1533,240,3.89999999999418,1245435.75
1533,237,3.90000000002328,1245448
1535,235,7.89999999999418,1245498.5
1538,232,3.89999999999418,1332454.5
1539,229,3.89999999999418,1332252
1539,227,7.89999999999418,1332234.5
1540,224,3.90000000002328,1332282.5
1541,223,3.89999999999418,1332204
1542,219,7.89999999999418,1332187.75
1542,219,3.89999999999418,1332187.75
1543,219,3.89999999999418,1332186.5
1545,219,7.80000000001746,1332004
1547,219,4,1332000
1550,220,3.89999999999418,1331974.5
1552,223,7.79999999998836,1331967.75
1554,224,4,1333164
1555,225,3.90000000002328,1333166.5
1557,228,3.89999999999418,1333129.25
1558,228,3.89999999999418,1333126.5
1560,229,3.89999999999418,1333203.75
1561,230,4,1333207.75
1562,229,3.89999999999418,1333213.25
1561,228,3.90000000002328,1333201.25
1560,228,3.89999999999418,1333200
1560,228,4,1333200
1560,227,3.89999999999418,1333199.75
1560,227,3.89999999999418,1333199.75
1560,226,3.89999999999418,1333198.5
1559,225,4,1333180
1559,224,3.90000000002328,1333183.75
1558,223,3.89999999999418,1331907.75
1556,223,3.89999999999418,1331909.25
1555,223,3.89999999999418,1331962.5
1552,223,4,1331967.75
1551,224,3.89999999999418,1332309.25
1547,223,3.90000000002328,1331984
1545,224,7.89999999999418,1332289.25
1542,224,3.89999999999418,1332284
1541,224,3.89999999999418,1332283.75
1539,227,7.89999999999418,1332234.5
1539,228,3.90000000002328,1332255.75
1538,228,3.89999999999418,1332254.5
1536,229,8,1332243.75
1536,229,4,1332243.75
1537,231,4,1332246.5
1537,232,8,1332457.25
1538,231,4,1332249.25
1539,230,4,1332251.75
1540,231,8,1332261.25
1540,233,4.10000000000582,1332443.75
1542,233,4,1332439.75
1543,232,4,1332437.25
1545,232,4,1332353.25
1547,232,4,1332367.75
1547,232,4,1332367.75
1548,230,4,1332334.5
1549,229,4,1332322.5
1551,231,4,1332330.5
1553,231,4,1333140
1554,230,4,1333138.5
1555,228,4,1333151.75
1554,227,4,1333155.75
1555,226,4,1333153.25
1553,226,4,1333159.75
1554,225,4,1333165.25
1555,223,4.09999999997672,1331962.5
1558,223,4,1331907.75
1559,223,4,1331904
1559,221,4,1331918.5
1560,221,4,1331899.75
1558,220,8,1331916
1556,219,4,1331935.75
1555,218,4,1331939.75
1552,218,8,1331948
1551,221,4,1331972
1548,226,4,1332318.5
1544,227,8,1332293.25
