x,y,t,h
970,655,3.89999999990687,727571.75
970,655,4,727571.75
969,652,3.89999999990687,727579.75
969,651,3.9000000001397,727588
970,648,3.89999999990687,727596
970,648,4,727596
973,639,3.9000000001397,779686.5
975,636,3.89999999990687,779695.75
976,629,4,779835.75
977,636,7.80000000004657,779857.25
977,636,3.89999999990687,779857.25
976,635,4,779855.75
978,636,7.80000000004657,779870.5
979,633,4,779846.5
981,633,3.89999999990687,779896
980,633,7.80000000004657,779897.25
983,629,4,779814.5
983,632,3.9000000001397,779903.75
984,632,7.89999999990687,779904
984,635,3.89999999990687,779919.75
982,635,3.9000000001397,779891.75
984,636,7.89999999990687,779920
986,636,4,779934.5
986,637,4,779933.25
985,635,4,779916
986,634,4,779912
987,634,4,779913.25
986,638,4,779928
986,637,4,779933.25
985,634,4,779917.25
985,634,4,779917.25
987,634,4,779913.25
989,631,4,779982.5
989,632,4,779963.75
989,628,4,779977.25
988,638,4,779940
984,639,4,779925.25
987,637,4,779932
988,630,4,779980
987,633,4,779910.5
985,634,4,779917.25
984,636,4,779920
984,640,4,727402.5
984,639,8,779925.25
983,640,4,727445.25
983,640,4,727445.25
983,638,8,779883.75
981,641,4,727448
978,641,4,727463.75
978,644,8,727476
979,646,4,727481.25
978,646,4,727480
975,650,8,727611.75
976,651,4,727493.25
972,656,4,727888
970,663,8,727921.25
968,667,4,727941.25
970,672,4,728300
969,661,8,727928
968,657,4,727875.75
810,713,52,744589.25
794,731,8,743459.75
796,726,4,743494.5
791,733,3.9000000001397,743654.5
789,745,4,743288
796,738,3.89999999990687,743412
793,736,3.89999999990687,743403.75
797,738,4,743415.75
789,748,7.80000000004657,743265.25
790,739,4,743195.75
792,741,3.9000000001397,743385.25
788,746,7.89999999990687,743286.5
789,745,3.89999999990687,743288
790,740,3.9000000001397,743204
792,733,7.89999999990687,743449.25
795,731,3.9000000001397,743456
792,729,4,743465.25
791,738,3.89999999990687,743193.25
791,735,3.89999999990687,743658.5
793,728,4,743467.75
794,730,3.9000000001397,743458.5
792,727,7.89999999990687,743551.75
793,725,3.9000000001397,743538.5
792,729,3.89999999990687,743465.25
791,726,4,743553.25
791,727,3.89999999990687,743552
789,727,3.9000000001397,743556
789,727,4,743556
792,727,3.89999999990687,743551.75
792,725,3.9000000001397,743537.25
791,726,4,743553.25
792,725,3.89999999990687,743537.25
793,726,3.89999999990687,743549.25
794,724,4,743540
794,722,3.9000000001397,743522.5
794,722,3.89999999990687,743522.5
796,722,4,743516
798,720,3.9000000001397,743510.5
798,720,3.89999999990687,743510.5
796,719,4,744357.25
796,722,3.89999999990687,743516
794,724,3.9000000001397,743540
793,726,4,743549.25
792,730,3.89999999990687,743462.5
790,733,3.9000000001397,743655.75
788,738,4,743198.5
786,736,3.89999999990687,743182.5
785,733,7.89999999990687,743672
783,734,3.9000000001397,743681.25
782,741,3.89999999990687,743149.25
781,737,7.9000000001397,743160
779,736,3.89999999990687,743109.25
778,734,4,743736
777,736,8,743107.75
775,737,4,743100
775,735,4,743744
775,735,8,743744
775,736,4,743103.75
775,738,4,743099.75
776,739,8,743119.75
777,737,4,743106.5
776,738,4,743118.5
777,738,4,743117.25
778,738,4,743112
780,737,4,743161.25
781,735,4,743684
782,732,4,743692
782,731,4,743697.25
784,730,4,743620
785,728,3.89999999990687,743617.25
786,728,4,743630.5
785,728,4,743617.25
787,727,4,743610.5
703,828,56,647183.75
702,831,4,647171.75
702,832,4,647164
702,834,8,647154.5
701,836,4,647137.25
702,837,3.9000000001397,647149.25
704,837,8,641713.25
706,836,4,641716
708,837,4,641673.25
708,837,8,641673.25
711,836,4,641679.75
711,836,4,641679.75
712,835,8,641647.75
711,835,4,641680
712,836,4,641648
711,835,4,641680
710,837,4,641677.25
711,837,4,641678.5
710,837,4,641677.25
710,837,4,641677.25
711,838,4,641665.25
712,838,4,641662.5
711,840,4,641749.25
711,842,4,641753.25
711,843,4,641754.5
