x,y,t,h
986,530,4,784482.5
987,533,4,784502.5
987,537,8,784430.5
990,533,4,784461.25
989,533,4,784456
990,531,8,784465.25
990,530,4,784466.5
988,530,4,784476
986,531,8,784481.25
986,529,4,784487.75
983,528,4,784533.25
980,532,8,784522.5
982,533,4,784525.25
983,531,4,784528
983,530,4,784531.75
986,530,4,784482.5
987,529,4,784484
985,524,4,785297.25
987,525,8,785308
987,526,4,785307.75
987,530,4,784483.75
992,535,4,785727.75
993,534,4,785725.25
993,529,4,785666.5
993,530,4,785671.75
994,531,8,785673.25
994,533,4,785719.75
992,531,4,785669.25
993,537,8,785730.5
988,542,4,784396
990,541,4,784391.75
990,541,8,784391.75
987,541,4,784414.5
986,537,4,784429.25
986,540,3.89999999990687,784412
984,541,3.89999999990687,784409.25
985,542,4,784407.75
984,542,3.89999999990687,784406.5
986,529,7.90000000037253,784487.75
986,541,3.89999999990687,784413.25
991,537,3.89999999990687,784444
989,539,4,784438.5
993,538,3.89999999990687,785741.25
993,535,3.89999999990687,785726.5
992,537,4,785729.25
987,539,3.90000000037253,784416
988,540,3.89999999990687,784394.5
987,543,4,784400
986,543,3.89999999990687,784403.75
720,536,39.2999999998137,545344
724,545,4,548251.75
723,546,3.90000000037253,548259.75
726,543,3.89999999990687,545385.25
723,547,4,548256
716,539,3.89999999990687,545205.25
710,552,7.89999999990687,548564
706,531,3.89999999990687,545033.25
705,518,3.90000000037253,544791.75
702,520,7.89999999990687,544700
700,517,3.89999999990687,544715.75
699,527,4,544666.5
696,529,7.79999999981374,543851.75
695,527,4,544618.5
690,534,3.90000000037253,543928
689,531,7.89999999990687,543918.5
688,537,3.89999999990687,543939.75
688,538,3.89999999990687,543940
688,546,7.89999999990687,543654.5
687,548,3.90000000037253,542821.25
686,551,3.89999999990687,542827.75
684,555,4,542879.75
683,557,3.89999999990687,542900
683,559,3.89999999990687,542896
682,558,4,542898.5
683,559,3.89999999990687,542896
683,560,4,543215.75
684,559,4,542895.75
685,560,4,543217.25
684,556,4,542880
684,557,4,542881.25
684,555,4,542879.75
684,552,3.90000000037253,542864
684,552,4,542864
684,551,4,542831.75
684,552,4,542864
681,548,4,542841.25
682,548,4,542838.5
682,548,4,542838.5
680,547,4,542789.25
680,544,8,542784
680,542,4,544062.5
679,541,4,544068
676,540,7.89999999990687,544074.5
675,540,4,544095.75
675,538,4,544097.25
671,540,8,541349.25
671,540,4,541349.25
671,541,4,541350.5
670,542,8,541352
669,544,4,542715.75
670,546,4,542706.5
668,548,7.89999999990687,542688
667,551,4,542682.5
669,550,4,542695.75
670,550,8,542696
669,550,4,542695.75
669,550,4,542695.75
669,551,4,542694.5
667,551,4,542682.5
667,550,4,542683.75
668,549,4,542691.75
669,548,4,542689.25
671,547,3.89999999990687,542704
675,545,4,542726.5
599,759,47.8999999999069,574592
599,756,8,574607.75
597,760,4,574675.75
601,764,4,574491.75
597,765,8,574690.5
600,767,4,574485.25
602,767,4,574483.75
604,764,8,574474.5
603,764,4,574495.75
602,761,4,574509.25
603,761,8.10000000009313,574510.5
605,759,4,574532
607,757,4,574542.5
608,746,8,574148
606,742,4,575426.5
608,747,4,574149.25
606,747,8,575411.75
603,751,4,575386.5
602,754,4,574562.5
598,754,4,574610.5
596,757,4,574601.25
596,757,4,574601.25
595,756,4,574645.25
594,755,4,574625.25
594,754,4,574626.5
594,757,4,574647.75
594,756,4,574644
593,753,4,574632
594,752,4,574630.5
596,749,4,575331.75
597,749,4,575330.5
598,748,4,575342.5
596,748,4,575328
597,748,4,575329.25
595,748,4,575327.75
594,748,4,575326.5
592,749,4.10000000009313,575315.75
590,752,4,574972
591,757,8,574956
590,757,4,574957.25
589,760,4,574745.25
587,759,8,574938.5
588,760,4,574746.5
587,746,4,575011.75
587,754,8,574921.25
587,738,4,575177.25
586,753,4,574919.75
586,749,8,575031.75
587,756,4,574943.75
586,749,4,575031.75
584,752,8,574912
583,754,4,574907.75
582,759,4,574849.25
582,756,8,574854.5
582,759,4,574849.25
580,758,4,574860
580,763,8,574837.25
579,762,4,574817.25
577,762,4,574823.75
577,761,8,574824
580,760,4,574832
582,761,4,574845.25
587,759,8,574938.5
592,757,4,574641.25
592,755,4,574639.75
595,752,4,574629.25
597,750,4,575335.75
598,747,4,575347.75
600,748,8,575376
603,747,4,575370.5
604,746,4,575414.5
603,746,4,575369.25
605,747,8,575412
604,743,4,575439.75
602,742,4,575442.5
601,742,8,575447.75
598,743,4,575275.75
598,741,4,575271.75
597,739,8,575260
596,742,4,575278.5
592,740,4,575290.5
588,742,8,575204
586,743,4,575193.25
585,739,4,575180
580,745,4,575091.75
580,746,4,575092
579,748,4,575071.75
580,746,4,575092
578,748,4,575068
577,750,4,575063.75
574,750,4,588200
575,749,4,588198.5
576,747,4.10000000009313,575077.25
578,749,4,575069.25
582,750,4,575042.5
587,749,4,575030.5
591,751,4,574976
593,750,4,575319.75
595,753,4,574628
599,753,4,574612
599,753,3.89999999990687,574612
602,755,4,574561.25
605,756,3.89999999990687,574539.75
607,757,3.89999999990687,574542.5
608,757,4,574227.75
607,758,3.90000000037253,574529.25
607,758,3.89999999990687,574529.25
603,758,7.89999999990687,574585.25
600,759,3.89999999990687,574591.75
601,761,4,574504
598,763,7.89999999990687,574683.75
600,764,3.90000000037253,574490.5
601,766,3.89999999990687,574487.75
600,767,7.89999999990687,574485.25
598,768,3.89999999990687,594878.5
600,766,4,574486.5
599,767,7.8000000002794,574698.5
600,770,4,594894.5
602,771,3.89999999990687,594891.75
601,769,7.89999999990687,594882.5
600,770,3.89999999990687,594894.5
602,768,4,594884
601,769,3.89999999990687,594882.5
603,769,3.90000000037253,594886.5
605,769,4,594936
604,769,3.89999999990687,594937.25
604,770,3.89999999990687,594934.5
605,771,4,594932
606,770,3.89999999990687,594930.5
606,769,3.89999999990687,594941.25
607,769,4,594942.5
609,767,3.90000000037253,574460
610,767,4,574459.75
611,765,3.89999999990687,574454.5
611,764,3.89999999990687,574453.25
609,763,4,574446.5
610,761,3.89999999990687,574439.75
609,760,3.89999999990687,574441.25
607,758,4,574529.25
604,758,3.90000000037253,574534.5
601,766,3.89999999990687,574487.75
600,766,4,574486.5
600,770,3.89999999990687,594894.5
599,774,4,594819.75
598,773,3.89999999990687,594823.75
597,773,7.89999999990687,594824
598,774,3.90000000037253,594818.5
598,773,3.89999999990687,594823.75
598,777,7.89999999990687,594813.25
597,779,3.89999999990687,594806.5
598,782,4,594754.5
598,776,8,594814.5
601,774,4,594903.75
601,768,4,594883.75
603,765,8,574494.5
605,766,4,574477.25
606,765,3.89999999990687,574471.75
606,763,8,574521.25
606,762,4,574520
607,760,4,574527.75
609,761,7.90000000037253,574440
610,757,4,574237.25
609,758,4,574231.75
608,757,4,574227.75
605,759,4,574532
604,758,4,574534.5
602,760,3.89999999990687,574508
597,759,4,574596
594,761,4,574669.25
595,763,4,574666.5
591,766,4,574721.25
587,766,3.89999999990687,574777.25
587,773,4,594036
587,777,4,594060
587,782,4,594099.75
589,780,4,594083.75
603,527,35.7999999998137,539546.5
605,523,4,539572
601,529,8,538728
601,537,3.90000000037253,538664
597,529,4,538776
598,531,8,538769.25
594,528,4,538790.5
591,527,4,539136
593,527,7.89999999990687,539478.5
589,528,4,539131.75
586,526,4,539192
587,529,7.89999999990687,539078.5
588,530,4,539126.5
591,527,4,539136
591,523,8,539152
592,521,4,539457.25
594,519,3.89999999990687,539441.25
597,516,8,539427.75
598,515,4,539419.75
596,511,4,872133.25
598,508,8,872140
599,510,4,872129.25
596,507,4,872159.75
594,506,8,872162.5
593,506,4,872173.25
591,505,4,872252
590,504,8,872254.5
587,505,4,872238.5
584,507,4,872229.25
583,510,8,872425.25
583,510,4,872425.25
582,515,4,539321.25
584,513,8,539329.25
585,512,4,539331.75
588,514,4,539382.5
589,513,8,539384
591,511,4,872192
593,511,4,872188
596,506,8,872156
599,503,4,871978.5
601,501,4,872056
603,498,8,872011.75
605,496,4,872019.75
606,495,4,871851.75
606,495,8,871851.75
605,495,4,871852
606,495,4,871851.75
606,498,8.10000000009313,872024
605,497,4,872018.5
603,500,4,872053.25
601,501,4,872056
599,506,4,872147.75
597,508,4,872139.75
593,511,4,872188
590,511,4,872193.25
588,512,4.10000000009313,539386.5
585,512,4,539331.75
584,511,4,872213.25
583,512,4,539327.75
583,514,4,539323.75
582,514,4,539320
583,518,4,539267.75
582,516,4,539270.5
583,517,4,539268
585,515,4.10000000009313,539340
587,514,4,539337.25
589,513,8,539384
590,514,3.89999999990687,539378.5
591,512,3.79999999981374,539391.75
592,509,7.8000000002794,872177.25
592,507,3.89999999990687,872175.75
591,506,3.89999999990687,872251.75
591,508,7.70000000018626,872197.25
590,509,3.89999999990687,872199.75
591,508,3.89999999990687,872197.25
591,508,7.70000000018626,872197.25
589,511,3.89999999990687,872206.5
592,508,3.89999999990687,872176
590,502,7.70000000018626,872258.5
589,498,3.89999999990687,872285.25
589,491,3.89999999990687,871604
590,487,3.89999999990687,871617.25
592,481,3.8000000002794,871681.25
593,480,3.89999999990687,871683.75
595,477,3.89999999990687,870494.5
594,472,3.89999999990687,870508
594,470,3.89999999990687,870546.5
595,468,3.8000000002794,870559.75
594,464,3.89999999990687,870572
594,463,3.89999999990687,870897.25
594,460,3.89999999990687,870902.5
593,460,3.8000000002794,870905.25
593,456,3.89999999990687,870849.25
592,454,3.89999999990687,870846.5
591,453,3.89999999990687,870990.5
591,453,3.90000000037253,870990.5
591,455,3.79999999981374,870976
592,453,3.89999999990687,870833.25
596,453,3.89999999990687,870793.25
596,455,3.90000000037253,870789.25
596,459,7.6999999997206,870879.75
597,461,3.89999999990687,870882.5
599,461,3.90000000037253,870886.5
