x,y,t,h
741,599,4,550788
746,597,4,550775.75
747,593,4,550756
750,593,4,550743.75
752,591,4,550399.75
752,591,4,550399.75
755,589,8,550390.5
754,588,4,550388
755,590,4,550393.25
750,591,8,550057.25
743,590,4,549995.75
741,594,4,550813.25
736,591,8,549973.25
730,594,4,549602.5
730,596,4,549596
734,599,8,549569.25
732,600,4,549562.5
735,599,4,549568
734,597,8,549575.75
740,597,4,550793.25
742,597,4,550797.25
742,597,8,550797.25
747,596,4,550773.25
746,597,4,550775.75
747,598,4,550777.25
744,600,4,550698.5
738,602,4,550856
737,599,4,550844
737,597,4,550834.5
731,601,4,549510.5
728,604,4,549520
721,604,4,549457.25
723,604,4,549471.75
720,609,4,552363.75
719,612,4,552527.75
718,604,4,549294.5
720,602,4,549454.5
719,599,4,549312
719,600,4,549311.75
715,599,4,549328
714,598,4,549330.5
711,598,4,549161.25
711,598,4,549161.25
712,592,8,549354.5
714,588,4,549046.5
719,589,4,549030.5
723,589,8,549726.5
722,593,4,549389.25
721,593,4,549378.5
720,592,8,549376
727,589,4,549700
733,586,4,549661.25
735,586,8,549651.75
739,584,4,549957.25
739,585,4,549958.5
739,586,8,549961.25
735,587,4,549648
562,516,68,525598.5
580,508,8,872416
579,509,4,872436
573,506,4,872477.25
569,508,4,872499.75
568,505,4,872491.75
569,503,4,872662.5
571,504,4,872485.25
573,505,8,872472
573,508,4,872459.75
576,509,4,872443.75
580,515,8,539317.25
580,519,4,539279.75
582,524,4,539206.5
581,530,8,539063.75
583,530,4,539067.75
584,536,4,538922.5
586,538,4,538914.5
592,541,4,538875.75
595,537,4,538828
595,540,4,538869.25
596,537,8,538833.25
602,534,4,538744
606,531,4,538705.25
605,525,3.90000000037253,539554.5
605,518,3.90000000037253,539597.25
606,517,4,539591.75
609,511,3.89999999850988,868692
610,512,4,539652
607,509,3.90000000037253,872102.5
604,507,3.90000000037253,872095.75
602,511,4,872113.25
602,508,3.90000000037253,872118.5
599,511,3.90000000037253,872128
603,512,4,539631.75
603,514,3.89999999850988,539617.25
607,517,3.90000000037253,539588
610,520,4,539878.5
617,516,3.90000000037253,539769.25
614,515,3.90000000037253,539699.75
617,515,4,539718.5
617,514,3.90000000037253,539719.75
614,515,3.89999999850988,539699.75
620,516,7.90000000037253,539744
621,517,4,539746.5
619,519,3.90000000037253,539760
625,514,7.90000000037253,540583.75
632,512,3.90000000037253,540608
634,512,3.89999999850988,540612
636,516,7.90000000037253,540640
636,513,3.90000000037253,540665.25
632,514,4,540622.5
635,508,7.80000000074506,868383.75
637,509,4,868360
633,503,3.89999999850988,868476
628,507,7.90000000037253,868575.75
628,506,3.90000000037253,868574.5
624,509,4,868603.75
626,511,7.80000000074506,868593.25
622,509,4,868621.25
