x,y,t,h
948,526,8,771526.5
947,525,4,771574.5
946,524,4,771572
944,522,8,771564
943,519,4,771264
941,518,4,771277.25
940,517,4,771275.75
938,515,4,771299.75
937,514,4,771303.75
937,512,4,771307.75
936,511,4,791487.75
936,511,4,791487.75
936,513,4,771305.25
1269,522,44,1988061.25
1264,520,4,1988032
1259,518,8,1988217.25
1257,516,4,1988211.75
1263,515,4,1988176
1264,513,8,1988011.75
1266,512,4,1988006.5
1267,510,4,1157723.75
1267,511,8,1157722.5
1265,515,4,1988014.5
1263,521,4,1988156
1261,528,8,1988435.75
1260,533,4,1988449.25
1258,534,4,1988466.5
1257,533,8,1988472
1255,533,4,1988396
1253,535,4,1988390.5
1250,539,8,1988577.25
1248,543,4,1988607.75
1246,546,4,1989976
1245,546,8,1989981.25
1244,547,4,1989983.75
1244,548,4,1989984
1244,547,8,1989983.75
1244,546,4,1989982.5
1245,546,4,1989981.25
1246,547,8,1989979.75
1245,548,4,1989987.75
1246,550,3.89999999944121,1989992
1245,550,4,1989997.25
1246,550,4,1989992
1245,551,4,1989996
1247,554,4,1990041.25
1246,556,8,1990052
1246,558,4,1990056
1246,562,4,1990232
1247,561,8,1990230.5
1247,560,4,1990229.25
1248,558,4,1987158.5
1246,560,8,1990228
1247,561,4,1990230.5
1247,564,4,1990245.25
1244,570,8,1990302.5
1243,572,4,1990325.25
1242,574,4,1990322.5
1238,576,8,1985300
1237,573,3.90000000037253,1990344
1233,577,4,1985282.5
1232,579,3.89999999944121,1985285.25
1229,585,4,1985048
1228,587,3.90000000037253,1985055.75
1226,589,3.90000000037253,1985079.75
1224,589,7.89999999944121,1985073.25
1227,588,3.90000000037253,1985077.25
1232,588,4,1985360
1239,588,3.89999999944121,1985391.75
1244,587,3.90000000037253,1985461.25
1249,589,4,1985778.5
1254,590,3.90000000037253,1985730.5
1257,592,3.89999999944121,1986027.75
1260,592,4,1986032
1265,592,3.90000000037253,1986049.25
1269,591,4,1986382.5
1270,593,3.89999999944121,1986071.75
1274,593,3.90000000037253,1986285.25
1275,593,4,1986286.5
1275,593,3.90000000037253,1986286.5
1276,595,4,1986293.25
1275,594,3.89999999944121,1986273.25
1276,594,3.90000000037253,1986292
1276,593,4,1986291.75
1275,592,3.89999999944121,1986287.75
1273,592,4,1986283.75
1271,594,3.90000000037253,1986073.25
1269,593,7.90000000037253,1986066.5
1266,594,3.89999999944121,1986056
1263,591,3.90000000037253,1985706.5
1261,592,7.89999999944121,1986033.25
1259,591,4,1985712
1258,591,3.90000000037253,1985713.25
1257,593,7.90000000037253,1986024
1255,594,3.89999999944121,1985817.25
1255,596,4,1985829.25
1255,596,7.79999999981374,1985829.25
1255,597,4,1985830.5
1255,599,3.90000000037253,1985834.5
1255,599,7.90000000037253,1985834.5
1256,602,3.89999999944121,1985934.5
1255,602,4,1985905.25
1254,604,3.90000000037253,1985902.5
1253,604,3.89999999944121,1985889.25
1252,604,4,1985888
1252,605,3.90000000037253,1985891.75
1252,605,4,1985891.75
1254,604,3.90000000037253,1985902.5
1253,605,3.89999999944121,1985890.5
1253,606,4,1985895.75
1255,605,4,1985900
1256,604,4,1985936
1256,604,4,1985936
1257,603,4,1985932
1259,603,4,1985930.5
1260,603,4,1985973.25
1261,601,4,1985976
1262,600,4,1985980
1261,600,4,1985979.75
1263,597,4,1985988
1265,597,3.90000000037253,1986104
1264,596,8,1986106.5
1263,594,4,1986043.75
1264,595,4,1986053.25
1264,595,8,1986053.25
1264,595,4,1986053.25
1264,596,4,1986106.5
1262,597,8,1985991.75
1262,598,4,1985986.5
1261,598,4,1985997.25
1260,599,7.89999999944121,1985999.75
1259,600,4,1985925.25
1259,601,4,1985926.5
1257,603,8,1985932
1256,604,4,1985936
1255,605,4,1985900
1254,605,8,1985901.25
1254,605,4,1985901.25
1253,604,4,1985889.25
1252,603,4,1985909.25
1252,601,4,1985913.25
1252,600,3.90000000037253,1985914.5
1251,598,4,1985843.75
1251,596,4,1985845.25
1253,595,4,1985820
1254,592,4,1985812
1255,591,4,1985728
1256,589,4,1985723.75
1257,587,4,1985670.5
1257,586,4,1985671.75
1259,585,4,1985676
1259,584,3.90000000037253,1985679.75
1259,584,4,1985679.75
1259,583,4,1985648
1259,583,4,1985648
1258,583,4,1985649.25
1258,583,4,1985649.25
1258,584,4,1985678.5
1257,585,8,1985666.5
1256,586,4,1985668
1256,586,4,1985668
1254,587,8,1985745.25
1253,588,4,1985739.75
1253,589,4,1985736
1253,590,8,1985735.75
1252,591,4,1985733.25
1252,591,4,1985733.25
1253,591,8,1985732
1253,590,3.89999999944121,1985735.75
1253,589,4,1985736
1255,589,8,1985742.5
1258,589,4,1985719.75
1260,589,4,1985697.25
1261,588,8,1985699.75
1263,588,4,1985701.25
1265,587,4,1986404
1267,587,4,1986400
1268,587,4,1986421.25
1268,587,4,1986421.25
1270,586,4,1986424
1270,584,4,1986430.5
1270,581,4,1986439.75
1270,580,4,1986438.5
1268,577,4,1986483.75
1269,576,4,1986481.25
1266,574,4,1986802.5
1264,572,4,1986810.5
1263,570,4,1986835.75
1263,570,4,1986835.75
1262,570,4,1986834.5
1263,570,4,1986835.75
1263,572,4,1986831.75
1264,573,4,1986811.75
1266,574,4,1986802.5
1267,576,4,1986479.75
1270,576,8,1986494.5
1273,577,4,1986498.5
1275,579,4,1986506.5
1277,578,8,1986551.75
1278,578,4,1986546.5
1279,576,4,1986559.75
1278,574,8,1986562.5
1277,571,4,1986614.5
1275,568,4,1986607.75
1273,565,8,1986674.5
1274,564,4,1986676
1272,563,4,1986671.75
1270,560,8,1986710.5
1271,559,4,1987434.5
1270,558,4,1987432
1270,558,8,1987432
1270,560,4,1986710.5
1271,560,4,1986709.25
1273,561,8,1986664
1272,562,4,1986668
1272,563,4,1986671.75
1269,562,8,1986717.25
1268,563,4,1986719.75
1266,564,4,1986740
1263,564,8,1987055.75
1260,564,4,1987040
1257,565,4,1987026.5
1256,564,8,1987024
1254,563,4,1987001.25
1250,564,8,1986972
1250,564,4,1986972
1248,565,4,1986969.25
1248,565,8,1986969.25
1248,564,4,1986970.5
1248,566,4,1986966.5
1248,566,4,1986966.5
1249,569,8,1986920
1250,569,4,1986925.25
1250,569,4,1986925.25
1249,569,8,1986920
1251,569,4,1986926.5
1251,569,4,1986926.5
1251,568,8,1986927.75
1251,568,4,1986927.75
1251,569,4,1986926.5
1252,568,8,1986928
1253,568,4,1986929.25
1253,566,4,1986957.25
1254,564,4,1986950.5
1255,564,4,1986949.25
1257,565,4,1987026.5
1258,564,4,1987038.5
1260,565,4,1987043.75
1260,567,4,1987045.25
1262,568,4,1986838.5
1263,569,4,1986836
1263,570,4,1986835.75
1264,571,4,1986757.25
1264,570,4,1986756
1264,571,4,1986757.25
1263,571,4,1986832
1262,570,4,1986834.5
1261,570,4,1986845.25
1259,569,4,1986852
1260,566,3.90000000037253,1987044
1259,566,3.89999999944121,1987035.75
1259,565,4,1987036
1260,566,7.80000000074506,1987044
1261,565,4,1987042.5
1262,565,3.89999999944121,1987053.25
1262,567,7.90000000037253,1987049.25
1264,568,3.89999999944121,1986752
1266,570,3.90000000037253,1986760
1265,571,7.90000000037253,1986758.5
1268,572,3.89999999944121,1986784
1268,573,4,1986785.25
1268,574,7.79999999981374,1986798.5
1269,575,4,1986796
1271,574,3.90000000037253,1986793.25
