x,y,t,h
1281,635,83.8999999999942,1949678.5
1284,634,6,1949660
1286,634,6,1949650.5
1286,636,6,1949644
1289,635,6,1949574.5
1292,638,6,1949614.5
1294,638,6,1949608
1296,639,6,1948757.25
1296,643,12,1949967.75
1295,646,6,1949891.75
1296,645,6,1949971.75
1295,647,12,1949888
1294,650,6,1949874.5
1294,647,6,1949889.25
1293,648,12,1949883.75
1293,652,6,1949857.25
1292,652,5.89999999999418,1949856
1292,652,12,1949856
1291,654,6,1949851.75
1289,654,6,1949847.75
1289,656,12,1950569.25
1288,658,6,1950572
1287,656,6,1950613.25
1287,656,6,1950613.25
1287,661,6,1950606.5
1287,658,6,1950611.75
1287,656,6,1950613.25
1290,657,6,1950567.75
1290,656,6,1950566.5
1292,655,6,1949861.25
1297,652,6,1950195.75
1298,648,6,1950182.5
1302,647,5.89999999999418,1949993.25
1304,646,6,1950076
1305,648,6,1950081.25
1310,647,6,1950059.75
1314,647,6,1953427.75
1314,648,6,1953388
1316,647,6,1953423.75
1320,646,6,1953492
1322,648,6,1953318.5
1324,649,6,1953307.75
1324,649,6,1953307.75
1324,649,6,1953307.75
1328,653,6,1953619.75
1328,650,6,1953614.5
1327,649,12,1953300
1326,648,6,1953302.5
1328,649,6,1953601.25
1327,649,11.9000000000233,1953300
1325,649,6,1953304
1324,650,6,1953308
1323,650,12,1953315.75
1324,651,6,1953311.75
1325,652,6,1953291.75
1324,654,12,1953286.5
1324,655,6,1953285.25
1324,656,6,1953274.5
1325,658,11.8999999999942,1953271.75
1325,655,6,1953284
1325,654,6,1953287.75
1328,654,12,1953620
1327,653,6,1953294.5
1329,650,6,1953613.25
1330,650,12,1953608
1331,649,6,1953606.5
1331,648,6,1953605.25
1332,645,11.8999999999942,1953569.25
1334,647,6,1953579.75
1336,648,6,1953664
1340,644,12,1953738.5
1342,644,6,1953734.5
1342,642,6,1953784
1344,640,12,1953792
1345,639,6,1934676
1345,644,12,1953809.25
1344,644,5.89999999999418,1953808
1346,642,6,1953800
1345,643,12,1953804
1344,643,6,1953807.75
1341,643,6,1953782.5
1341,647,6,1953742.5
1340,648,12,1953722.5
1340,651,6,1953717.25
1341,651,6,1953716
1343,653,11.8999999999942,1953708
1342,652,6,1953710.5
1346,652,6,1954036
1346,653,12,1954039.75
1349,654,6,1953991.75
1350,654,6,1953986.5
1351,654,12,1953985.25
1349,652,6,1953995.75
1349,653,6,1953992
1347,655,5.90000000002328,1954042.5
1347,655,6,1954042.5
1347,658,6,1954059.75
1347,655,6,1954042.5
1345,651,6,1954030.5
1345,651,6,1954030.5
1344,649,6,1954027.75
1344,647,6,1953813.25
1345,645,6,1953810.5
1347,643,6,1953802.5
1350,643,6,1953843.75
1352,637,6,1934641.25
1354,632,5.89999999999418,1934630.5
1355,629,6,1934812
1357,629,6,1934818.5
1360,631,6,1934527.75
1362,632,6,1934542.5
1365,632,6,1934547.75
1367,636,6,1934565.25
1368,636,12,1934362.5
1368,636,6,1934362.5
1367,639,6,1934570.5
1368,638,11.8999999999942,1934358.5
1368,641,6,1954753.25
1370,642,6,1954760
1371,640,12,1954757.25
1370,641,6,1954759.75
1370,636,6,1934364
1368,638,12,1934358.5
1365,638,6,1934573.25
1364,635,6,1934559.75
1364,633,11.8999999999942,1934545.25
1365,632,6,1934547.75
1364,633,6,1934545.25
1359,635,12,1934608
1356,633,6,1934619.75
1354,635,6,1934625.25
1352,634,6,1934636
1349,637,6,1934664
1349,634,6,1934711.75
1351,633,6,1934716
1033,331,125.899999999994,1128996
1032,339,6,1129285.25
1024,340,6,1129232
1025,347,12,1129454.5
1022,355,6,803153.25
1019,362,6,803105.25
1017,363,12,803108
1015,366,6,803305.25
1012,370,6,802996
1013,369,12,802994.5
1015,374,6,802947.75
1020,376,6,802842.5
1019,374,5.90000000002328,803035.75
1020,373,6,803043.75
1021,370,6,803063.75
1022,369,6,803069.25
1025,369,6,1130408
1025,366,6,1129559.75
1028,366,6,1129572
1030,366,6,1129576
1031,368,6,1130389.25
1030,367,6,1129577.25
1028,368,6,1130394.5
1028,370,6,1130396
1028,372,6,1130378.5
1028,376,6,1130448
1027,379,6,1130442.5
1024,382,6,1130492
1022,387,6,802809.25
1019,391,6,802768
1016,394,6,802702.5
1013,397,12,802658.5
1009,402,6,801965.25
1007,405,6,802284
1004,406,11.8999999999942,802276
1004,407,6,802277.25
1003,408,6,802085.25
1002,408,12,802086.5
1002,407,6,802265.25
1003,404,6,802271.75
1003,404,12,802271.75
1004,403,6,802293.25
1006,400,6,802300
1006,399,12,802307.75
1007,398,6,802305.25
1006,398,6,802306.5
1005,398,12,802311.75
1004,398,6,802310.5
1002,399,6,802363.75
1000,401,6,802241.25
999,403,6,802234.5
998,405,6.10000000000582,802183.75
996,407,6,802191.75
993,408,6,802155.75
993,409,6,802152
991,413,6,799398.5
988,415,6,799407.75
990,417,6,800765.25
988,420,6,800736
988,421,6,800739.75
989,423,6,800742.5
990,423,6,800745.25
991,421,6,800748
994,422,6.09999999997672,800792
997,421,6,800802.5
1002,419,6,800841.25
1006,415,6,802051.75
1010,411,6,801993.25
1015,407,12,801920
1018,402,6,801890.5
1022,397,6,802733.25
1025,396,12,1130739.75
1029,392,6,1130713.25
1032,388,6.10000000000582,1130618.5
1033,386,12,1130567.75
1034,386,6,1130568
1033,385,6,1130562.5
1031,388,12,1130543.75
1028,390,6,1130532
1025,395,6,1130734.5
1021,402,12,801885.25
1019,406,6,801913.25
1008,411,6.10000000000582,801989.25
1009,413,6,802040
1006,417,6,800855.75
1000,417,6,800835.75
1000,419,6,800837.25
999,420,6,800815.75
997,420,6,800801.25
999,420,6,800815.75
998,421,6,800813.25
998,421,12,800813.25
998,420,6,800814.5
999,420,6.10000000000582,800815.75
998,420,6,800814.5
997,420,6,800801.25
998,422,6,800808
998,423,6,800809.25
997,422,6,800807.75
997,423,6,800806.5
996,424,6,800986.5
997,424,6,800985.25
997,422,6,800807.75
997,422,6,800807.75
998,420,6.10000000000582,800814.5
996,419,6,800821.25
998,418,6,800818.5
999,417,6,800830.5
999,417,6,800830.5
999,420,6,800815.75
996,419,6,800821.25
995,421,6,800796
994,422,6,800792
578,545,96,538285.25
567,543,6,526016
571,544,6,526671.75
567,551,6,526634.5
560,554,6,526828
558,556,6,526510.5
553,559,6,526486.5
550,560,5.89999999999418,527254.5
550,563,6,527249.25
